National,Radio Formula,BC,GI,SPA,Radio,
National,Televisa,BC,GI,SPA,TV,
National,TV Azteca,BC,GI,SPA,TV,
National,TV Azteca,BC,SP,SPA,TV,
National,20 Minutos,IN,GI,SPA,,
National,Animal Politico,IN,GI,SPA,,
National,Aristegui Noticias,IN,GI,SPA,,
National,E Consulta,IN,GI,SPA,,
National,El Arsenal,IN,GI,SPA,,
National,El Periodico de Mexico,IN,GI,SPA,,
National,Equilibrio Informativo,IN,GI,SPA,,
National,Google,IN,GI,SPA,,
National,Huellas de Mexico,IN,GI,SPA,,
National,La Neta,IN,GI,SPA,,
National,La Politica Online,IN,GI,SPA,,
National,La Silla Rota,IN,GI,SPA,,
National,Milenio,IN,GI,SPA,,
National,Mundo de Hoy,IN,GI,SPA,,
National,Prodigy MSN,IN,GI,SPA,,
National,Publimetro,IN,GI,SPA,,
National,Red Politica,IN,GI,SPA,,
National,SDP Noticias,IN,GI,SPA,,
National,Sin Embargo,IN,GI,SPA,,
National,Terra,IN,GI,SPA,,
National,Noticias de Mexico,IN,GI,SPA,,
National,Contralinea,MG,GI,SPA,,
National,Deporte 6 AM,MG,SP,SPA,,
National,Etcetera,MG,GI,SPA,,
National,Expansion,MG,BU,SPA,,
National,Fama,MG,EN,SPA,,
National,Hola,MG,EN,SPA,,
National,Inside Mexico,MG,GI,ENG,,
National,Mundo Ejecutivo,MG,BU,SPA,,
National,Proceso,MG,GI,SPA,,
National,Siempre,MG,GI,SPA,,
National,Transicion,MG,GI,SPA,,
National,Vertigo,MG,GI,SPA,,
National,Diario de Mexico,NP,GI,SPA,,
National,Diario Oficial,NP,GO,SPA,,
National,El Economista,NP,BU,SPA,,
National,El Financiero,NP,BU,SPA,,
National,El Sol de Mexico,NP,GI,SPA,,
National,El Universal,NP,GI,SPA,,
National,Esto,NP,SP,SPA,,
National,La Cronica de Hoy,NP,GI,SPA,,
National,La Jornada,NP,GI,SPA,,
National,La Prensa,NP,GI,SPA,,
National,Reforma,NP,GI,SPA,,
National,Uno Mas Uno,NP,GI,SPA,,
National,Agencia Mexicana de Noticias,PA,GI,SPA,,
National,Notimex,PA,GI,SPA,,
Foreign,Reuters,PA,GI,ENG,,
Foreign,Reuters,PA,GI,SPA,,
Aguascalientes,,,,,,
Aguascalientes,Aguas,NP,GI,SPA,Radio,1
Aguascalientes,Desde la Red,IN,GI,SPA,,1
Aguascalientes,El Circo,NP,GI,SPA,,1
Aguascalientes,El Clarinete,IN,GI,SPA,,1
Aguascalientes,El Heraldo Aquascalientes,NP,GI,SPA,,1
Aguascalientes,El Sol del Centro,NP,GI,SPA,,1
Aguascalientes,Hidrocalido,NP,GI,SPA,,1
Aguascalientes,La Grilla,NP,GI,SPA,,1
Aguascalientes,La Jornada Aguascalientes,NP,GI,SPA,,1
Aguascalientes,Pagina 24,NP,GI,SPA,,1
Aguascalientes,Palestra Aguascalientes,IN,GI,SPA,,1
Aguascalientes,Radio Bi,BC,GI,SPA,,1
Baja California,,,,,,
Baja California,El Observador,IN,GI,SPA,Radio,2
Baja California,El Vigia,NP,GI,SPA,,2
Baja California,Enlace Informativo,IN,GI,SPA,,2
Baja California,La Cronica,NP,GI,SPA,,2
Baja California,La Voz de la Frontera,NP,GI,SPA,,2
Baja California,Monitor Economico,NP,BU,SPA,,2
Baja California,Siglo 21,NP,BU,SPA,,2
Baja California,Baja Times,NP,GI,ENG,,2
Baja California,Gringo Gazette North,NP,GI,ENG,,2
Baja California,Agencia Fronteriza de Noticias,IN,GI,SPA,,2
Baja California,Diez 4,MG,GI,SPA,,2
Baja California,El Mexicano,NP,GI,SPA,,2
Baja California,El Sol de Tijuana,NP,GI,SPA,,2
Baja California,En Linea Tijuana,IN,GI,SPA,,2
Baja California,Frontera,NP,GI,SPA,,2
Baja California,Monitor BC,IN,GI,SPA,,2
Baja California,Tijuana Press,IN,GI,SPA,,2
Baja California,Uniradio Informa,BC,GI,SPA,,2
Baja California,Zeta,MG,GI,SPA,,2
Baja California Sur,,,,,,
Baja California Sur,BCS Noticias,IN,GI,SPA,,3
Baja California Sur,El Peninsular,NP,GI,SPA,,3
Baja California Sur,El Peri?dico,NP,GI,SPA,,3
Baja California Sur,El Sudcaliforniano,NP,GI,SPA,,3
Baja California Sur,Noti Cabos,IN,GI,SPA,,3
Baja California Sur,Tribuna de los Cabos,NP,GI,SPA,,3
Campeche,,,,,,
Campeche,Campeche,IN,GI,SPA,TV,4
Campeche,Campeche al Minuto,IN,GI,SPA,,4
Campeche,Campeche Hoy,IN,GI,SPA,,4
Campeche,Campeche Hoy,NP,GI,SPA,,4
Campeche,Comunica Campeche,IN,GI,SPA,,4
Campeche,Cronica de Campeche,NP,GI,SPA,,4
Campeche,Diario de Campeche,IN,GI,SPA,,4
Campeche,El Expreso de Campeche,NP,GI,SPA,,4
Campeche,El Sur de Campeche,NP,GI,SPA,,4
Campeche,Novedades Campeche,NP,GI,SPA,,4
Campeche,Telemar,BC,GI,SPA,,4
Campeche,Tribuna de Campeche,NP,GI,SPA,,4
Campeche,Carmen Hoy,IN,GI,SPA,,4
Campeche,Carmen Minuto a Minuto,IN,GI,SPA,,4
Campeche,Comunica Carmen,IN,GI,SPA,,4
Campeche,SIEN,IN,GI,SPA,,4
Chiapas,,,,,,
